sentence,word,label
Aaj ka din bohot busy tha,Aaj,URD
Aaj ka din bohot busy tha,ka,URD
Aaj ka din bohot busy tha,din,URD
Aaj ka din bohot busy tha,bohot,URD
Aaj ka din bohot busy tha,busy,ENG
Aaj ka din bohot busy tha,tha,URD
Yaar seriously I can not even right now,Yaar,URD
Yaar seriously I can not even right now,seriously,ENG
Yaar seriously I can not even right now,I,ENG
Yaar seriously I can not even right now,can,ENG
Yaar seriously I can not even right now,not,ENG
Yaar seriously I can not even right now,even,ENG
Yaar seriously I can not even right now,right,ENG
Yaar seriously I can not even right now,now,ENG
Bhai kal mera presentation hai still not prepared,Bhai,URD
Bhai kal mera presentation hai still not prepared,kal,URD
Bhai kal mera presentation hai still not prepared,mera,URD
Bhai kal mera presentation hai still not prepared,presentation,ENG
Bhai kal mera presentation hai still not prepared,hai,URD
Bhai kal mera presentation hai still not prepared,still,ENG
Bhai kal mera presentation hai still not prepared,not,ENG
Bhai kal mera presentation hai still not prepared,prepared,ENG
Khana kha liya I was literally waiting for you,Khana,URD
Khana kha liya I was literally waiting for you,kha,URD
Khana kha liya I was literally waiting for you,liya,URD
Khana kha liya I was literally waiting for you,I,ENG
Khana kha liya I was literally waiting for you,was,ENG
Khana kha liya I was literally waiting for you,literally,ENG
Khana kha liya I was literally waiting for you,waiting,ENG
Khana kha liya I was literally waiting for you,for,ENG
Khana kha liya I was literally waiting for you,you,ENG
Aaj mera mood nahi hai for anything,Aaj,URD
Aaj mera mood nahi hai for anything,mera,URD
Aaj mera mood nahi hai for anything,mood,ENG
Aaj mera mood nahi hai for anything,nahi,URD
Aaj mera mood nahi hai for anything,hai,URD
Aaj mera mood nahi hai for anything,for,ENG
Aaj mera mood nahi hai for anything,anything,ENG
Main raste mein hoon please wait for ten minutes,Main,URD
Main raste mein hoon please wait for ten minutes,raste,URD
Main raste mein hoon please wait for ten minutes,mein,URD
Main raste mein hoon please wait for ten minutes,hoon,URD
Main raste mein hoon please wait for ten minutes,please,ENG
Main raste mein hoon please wait for ten minutes,wait,ENG
Main raste mein hoon please wait for ten minutes,for,ENG
Main raste mein hoon please wait for ten minutes,ten,ENG
Main raste mein hoon please wait for ten minutes,minutes,ENG
Is weather mein aik hot cup of chai is mandatory,Is,URD
Is weather mein aik hot cup of chai is mandatory,weather,ENG
Is weather mein aik hot cup of chai is mandatory,mein,URD
Is weather mein aik hot cup of chai is mandatory,aik,URD
Is weather mein aik hot cup of chai is mandatory,hot,ENG
Is weather mein aik hot cup of chai is mandatory,cup,ENG
Is weather mein aik hot cup of chai is mandatory,of,ENG
Is weather mein aik hot cup of chai is mandatory,chai,URD
Is weather mein aik hot cup of chai is mandatory,is,ENG
Is weather mein aik hot cup of chai is mandatory,mandatory,ENG
Assignment submit kar di hai or still working on it,Assignment,ENG
Assignment submit kar di hai or still working on it,submit,ENG
Assignment submit kar di hai or still working on it,kar,URD
Assignment submit kar di hai or still working on it,di,URD
Assignment submit kar di hai or still working on it,hai,URD
Assignment submit kar di hai or still working on it,or,ENG
Assignment submit kar di hai or still working on it,still,ENG
Assignment submit kar di hai or still working on it,working,ENG
Assignment submit kar di hai or still working on it,on,ENG
Assignment submit kar di hai or still working on it,it,ENG
Kal ki meeting ka time reschedule ho gaya hai,Kal,URD
Kal ki meeting ka time reschedule ho gaya hai,ki,URD
Kal ki meeting ka time reschedule ho gaya hai,meeting,ENG
Kal ki meeting ka time reschedule ho gaya hai,ka,URD
Kal ki meeting ka time reschedule ho gaya hai,time,ENG
Kal ki meeting ka time reschedule ho gaya hai,reschedule,ENG
Kal ki meeting ka time reschedule ho gaya hai,ho,URD
Kal ki meeting ka time reschedule ho gaya hai,gaya,URD
Kal ki meeting ka time reschedule ho gaya hai,hai,URD
Bohot traffic tha so I missed the first lecture,Bohot,URD
Bohot traffic tha so I missed the first lecture,traffic,ENG
Bohot traffic tha so I missed the first lecture,tha,URD
Bohot traffic tha so I missed the first lecture,so,ENG
Bohot traffic tha so I missed the first lecture,I,ENG
Bohot traffic tha so I missed the first lecture,missed,ENG
Bohot traffic tha so I missed the first lecture,the,ENG
Bohot traffic tha so I missed the first lecture,first,ENG
Bohot traffic tha so I missed the first lecture,lecture,ENG
Mujhe yeh movie dekhni hai looks very interesting,Mujhe,URD
Mujhe yeh movie dekhni hai looks very interesting,yeh,URD
Mujhe yeh movie dekhni hai looks very interesting,movie,ENG
Mujhe yeh movie dekhni hai looks very interesting,dekhni,URD
Mujhe yeh movie dekhni hai looks very interesting,hai,URD
Mujhe yeh movie dekhni hai looks very interesting,looks,ENG
Mujhe yeh movie dekhni hai looks very interesting,very,ENG
Mujhe yeh movie dekhni hai looks very interesting,interesting,ENG
Please pass me that water bottle bohot pyas lagi hai,Please,ENG
Please pass me that water bottle bohot pyas lagi hai,pass,ENG
Please pass me that water bottle bohot pyas lagi hai,me,ENG
Please pass me that water bottle bohot pyas lagi hai,that,ENG
Please pass me that water bottle bohot pyas lagi hai,water,ENG
Please pass me that water bottle bohot pyas lagi hai,bottle,ENG
Please pass me that water bottle bohot pyas lagi hai,bohot,URD
Please pass me that water bottle bohot pyas lagi hai,pyas,URD
Please pass me that water bottle bohot pyas lagi hai,lagi,URD
Please pass me that water bottle bohot pyas lagi hai,hai,URD
Itna tension mat lo everything will be fine,Itna,URD
Itna tension mat lo everything will be fine,tension,ENG
Itna tension mat lo everything will be fine,mat,URD
Itna tension mat lo everything will be fine,lo,URD
Itna tension mat lo everything will be fine,everything,ENG
Itna tension mat lo everything will be fine,will,ENG
Itna tension mat lo everything will be fine,be,ENG
Itna tension mat lo everything will be fine,fine,ENG
Laptop hang ho gaya hai I need to restart it,Laptop,ENG
Laptop hang ho gaya hai I need to restart it,hang,ENG
Laptop hang ho gaya hai I need to restart it,ho,URD
Laptop hang ho gaya hai I need to restart it,gaya,URD
Laptop hang ho gaya hai I need to restart it,hai,URD
Laptop hang ho gaya hai I need to restart it,I,ENG
Laptop hang ho gaya hai I need to restart it,need,ENG
Laptop hang ho gaya hai I need to restart it,to,ENG
Laptop hang ho gaya hai I need to restart it,restart,ENG
Laptop hang ho gaya hai I need to restart it,it,ENG
Yeh wala design looks aesthetic and modern,Yeh,URD
